,date,state,cases,deaths,state_name,lat,long
1,26/02/2020,SP,1,0,Sao Paulo,-23.533333,-46.633333
2,26/02/2020,PR,0,0,Parana,-24,-51
3,26/02/2020,RS,0,0,Rio Grande do Sul,-30,-53
4,26/02/2020,SC,0,0,Santa Catarina,-27.25,-50.333333
5,27/02/2020,DF,0,0,Distrito Federal,-15.795,-47.757778
6,27/02/2020,GO,0,0,Goias,-15.933333,-50.133333
7,27/02/2020,MS,0,0,MatoGrosso do Sul,-20.442778,-54.645833
8,27/02/2020,MT,0,0,MatoGrosso,-15.566667,-56.066667
9,27/02/2020,AL,0,0,Alagoas,-9.57,-36.55
10,27/02/2020,BA,0,0,Bahia,-12,-41
11,27/02/2020,CE,0,0,Ceara,-5.08,-39.65
12,27/02/2020,MA,0,0,Maranhao,-6.183333,-45.616667
13,27/02/2020,PB,0,0,Paraiba,-7.166667,-36.833333
14,27/02/2020,PE,0,0,Pernambuco,-8.333333,-37.8
15,27/02/2020,PI,0,0,Piaui,-8.233333,-43.1
16,27/02/2020,RN,0,0,Rio Grande do Norte,-5.74,-36.55
17,27/02/2020,SE,0,0,Sergipe,-10.56,-37.36
18,27/02/2020,AC,0,0,Acre,-9,-70
19,27/02/2020,AM,0,0,Amazonas,-5,-63
20,27/02/2020,AP,0,0,Amapa,1,-52
21,27/02/2020,PA,0,0,Para,-5.666667,-52.733333
22,27/02/2020,RO,0,0,Rondonia,-10.9,-62.76
23,27/02/2020,RR,0,0,Roraima,2.05,-61.4
24,27/02/2020,TO,0,0,Tocantins,-10.183333,-48.333333
25,27/02/2020,ES,0,0,Espirito Santo,-20.266667,-40.283333
26,27/02/2020,MG,0,0,Minas Gerais,-19.816667,-43.95
27,27/02/2020,RJ,0,0,Rio de Janeiro,-22.9,-43.2
28,27/02/2020,SP,1,0,Sao Paulo,-23.533333,-46.633333
29,27/02/2020,PR,0,0,Parana,-24,-51
30,27/02/2020,RS,0,0,Rio Grande do Sul,-30,-53
31,27/02/2020,SC,0,0,Santa Catarina,-27.25,-50.333333
32,28/02/2020,DF,0,0,Distrito Federal,-15.795,-47.757778
33,28/02/2020,GO,0,0,Goias,-15.933333,-50.133333
34,28/02/2020,MS,0,0,MatoGrosso do Sul,-20.442778,-54.645833
35,28/02/2020,MT,0,0,MatoGrosso,-15.566667,-56.066667
36,28/02/2020,AL,0,0,Alagoas,-9.57,-36.55
37,28/02/2020,BA,0,0,Bahia,-12,-41
38,28/02/2020,CE,0,0,Ceara,-5.08,-39.65
39,28/02/2020,MA,0,0,Maranhao,-6.183333,-45.616667
40,28/02/2020,PB,0,0,Paraiba,-7.166667,-36.833333
41,28/02/2020,PE,0,0,Pernambuco,-8.333333,-37.8
42,28/02/2020,PI,0,0,Piaui,-8.233333,-43.1
43,28/02/2020,RN,0,0,Rio Grande do Norte,-5.74,-36.55
44,28/02/2020,SE,0,0,Sergipe,-10.56,-37.36
45,28/02/2020,AC,0,0,Acre,-9,-70
46,28/02/2020,AM,0,0,Amazonas,-5,-63
47,28/02/2020,AP,0,0,Amapa,1,-52
48,28/02/2020,PA,0,0,Para,-5.666667,-52.733333
49,28/02/2020,RO,0,0,Rondonia,-10.9,-62.76
50,28/02/2020,RR,0,0,Roraima,2.05,-61.4
51,28/02/2020,TO,0,0,Tocantins,-10.183333,-48.333333
52,28/02/2020,ES,0,0,Espirito Santo,-20.266667,-40.283333
53,28/02/2020,MG,0,0,Minas Gerais,-19.816667,-43.95
54,28/02/2020,RJ,0,0,Rio de Janeiro,-22.9,-43.2
55,28/02/2020,SP,1,0,Sao Paulo,-23.533333,-46.633333
56,28/02/2020,PR,0,0,Parana,-24,-51
57,28/02/2020,RS,0,0,Rio Grande do Sul,-30,-53
58,28/02/2020,SC,0,0,Santa Catarina,-27.25,-50.333333
59,29/02/2020,DF,0,0,Distrito Federal,-15.795,-47.757778
60,29/02/2020,GO,0,0,Goias,-15.933333,-50.133333
61,29/02/2020,MS,0,0,MatoGrosso do Sul,-20.442778,-54.645833
62,29/02/2020,MT,0,0,MatoGrosso,-15.566667,-56.066667
63,29/02/2020,AL,0,0,Alagoas,-9.57,-36.55
64,29/02/2020,BA,0,0,Bahia,-12,-41
65,29/02/2020,CE,0,0,Ceara,-5.08,-39.65
66,29/02/2020,MA,0,0,Maranhao,-6.183333,-45.616667
67,29/02/2020,PB,0,0,Paraiba,-7.166667,-36.833333
68,29/02/2020,PE,0,0,Pernambuco,-8.333333,-37.8
69,29/02/2020,PI,0,0,Piaui,-8.233333,-43.1
70,29/02/2020,RN,0,0,Rio Grande do Norte,-5.74,-36.55
71,29/02/2020,SE,0,0,Sergipe,-10.56,-37.36
72,29/02/2020,AC,0,0,Acre,-9,-70
73,29/02/2020,AM,0,0,Amazonas,-5,-63
74,29/02/2020,AP,0,0,Amapa,1,-52
75,29/02/2020,PA,0,0,Para,-5.666667,-52.733333
76,29/02/2020,RO,0,0,Rondonia,-10.9,-62.76
77,29/02/2020,RR,0,0,Roraima,2.05,-61.4
78,29/02/2020,TO,0,0,Tocantins,-10.183333,-48.333333
79,29/02/2020,ES,0,0,Espirito Santo,-20.266667,-40.283333
80,29/02/2020,MG,0,0,Minas Gerais,-19.816667,-43.95
81,29/02/2020,RJ,0,0,Rio de Janeiro,-22.9,-43.2
82,29/02/2020,SP,2,0,Sao Paulo,-23.533333,-46.633333
83,29/02/2020,PR,0,0,Parana,-24,-51
84,29/02/2020,RS,0,0,Rio Grande do Sul,-30,-53
85,29/02/2020,SC,0,0,Santa Catarina,-27.25,-50.333333
86,1/03/2020,DF,0,0,Distrito Federal,-15.795,-47.757778
87,1/03/2020,GO,0,0,Goias,-15.933333,-50.133333
88,1/03/2020,MS,0,0,MatoGrosso do Sul,-20.442778,-54.645833
