"","Date","Time","states","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed","lat","long"
"1","30/01/2020","6:00 PM","Kerala","1","0",0,0,1,8.5,77
"2","31/01/2020","6:00 PM","Kerala","1","0",0,0,1,8.5,77
"3","1/02/2020","6:00 PM","Kerala","2","0",0,0,2,8.5,77
"4","2/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"5","3/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"6","4/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"7","5/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"8","6/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"9","7/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"10","8/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"11","9/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"12","10/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"13","11/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"14","12/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"15","13/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"16","14/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"17","15/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"18","16/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"19","17/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"20","18/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"21","19/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"22","20/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"23","21/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"24","22/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
"25","23/02/2020","6:00 PM","Kerala","3","0",0,0,3,8.5,77
