"","date","state","positive","negative","recovered","death","total","state_name","lat","lng"
"1",2020-09-27,"AK",8431,434554,3502,56,442985,"Alaska",65,-150
"2",2020-09-27,"AL",152321,975685,64583,2501,1128006,"Alabama",32.7,-86.7
"3",2020-09-27,"AR",81242,861892,72602,1308,943134,"Arkansas",34.8,-92.2
"4",2020-09-27,"AS",0,1571,NA,0,1571,NA,NA,NA
"5",2020-09-27,"AZ",217237,1230608,34872,5623,1447845,"Arizona",34,-112
"6",2020-09-27,"CA",802308,13531190,NA,15587,14333498,"California",37,-120
"7",2020-09-27,"CO",68510,814332,6424,1940,882842,"Colorado",39,-105.5
"8",2020-09-27,"CT",56587,1462564,9310,4501,1519151,"Connecticut",41.6,-72.7
"9",2020-09-27,"DC",15250,365909,12037,624,381159,NA,NA,NA
"10",2020-09-27,"DE",20260,261764,10557,633,282024,"Delaware",39,-75.5
"11",2020-09-27,"FL",700564,4552877,NA,14202,5257442,"Florida",28.1,-81.6
"12",2020-09-27,"GA",314685,2571584,NA,6946,2886269,"Georgia",33,-83.5
"13",2020-09-27,"GU",2354,46365,1668,43,48719,"Guam",13.5,144.8
"14",2020-09-27,"HI",12018,279639,10126,131,291657,"Hawaii",21.311389,-157.796389
"15",2020-09-27,"IA",83636,670987,65838,1314,754623,"Iowa",42,-93
"16",2020-09-27,"ID",40296,264485,21468,460,304781,"Idaho",45,-114
"17",2020-09-27,"IL",290419,5191580,NA,8845,5481999,"Illanois",40,-89
"18",2020-09-27,"IN",117450,1241410,92552,3580,1358860,"Indiana",40,-86
"19",2020-09-27,"KS",56592,446178,2039,632,502770,"Kansas",38.5,-98
"20",2020-09-27,"KY",66491,1216560,11750,1157,1283051,"Kentucky",37.5,-85
"21",2020-09-27,"LA",166075,2117074,149640,5465,2283149,"Louisiana",31,-92
"22",2020-09-27,"MA",130642,2064199,111479,9404,2194841,"Massachusetts",42.3,-71.8
"23",2020-09-27,"MD",123403,1470960,7463,3935,1594363,"Maryland",39,-76.7
"24",2020-09-27,"ME",5288,415908,4567,140,421196,"Maine",45.5,-69
"25",2020-09-27,"MI",134373,3408684,95051,7044,3543057,"Michigan",44,-85
"26",2020-09-27,"MN",96734,1287778,86252,2060,1384512,"Minnesota",46,-94
"27",2020-09-27,"MO",123406,1174700,NA,2063,1298106,"Missouri",38.5,-92.5
"28",2020-09-27,"MP",70,14776,29,2,14846,NA,NA,NA
"29",2020-09-27,"MS",96859,634036,85327,2919,730895,"Mississippi",33,-90
"30",2020-09-27,"MT",12107,318200,8779,173,330307,"Montana",47,-110
"31",2020-09-27,"NC",207380,2771348,176422,3441,2978728,"North Carolina",35.5,-80
"32",2020-09-27,"ND",20724,216894,16727,156,237618,"North Dakota",47,-100
"33",2020-09-27,"NE",43596,401533,32584,469,445129,"Nebraska",41.5,-100
"34",2020-09-27,"NH",8121,257257,7379,439,265378,"New Hampshire",44,-71.5
"35",2020-09-27,"NJ",203548,3309718,34650,16109,3513266,"New Jersey",40,-74.5
"36",2020-09-27,"NM",28692,871245,16211,870,899937,"New Mexico",34,-106
"37",2020-09-27,"NV",78728,610228,2075,1585,688956,"Nevada",39,-117
"38",2020-09-27,"NY",455626,10052560,76595,25456,10508186,"New York",43,-75
"39",2020-09-27,"OH",150809,2920378,130193,4741,3071187,"Ohio",40.5,-82.5
"40",2020-09-27,"OK",83510,1075475,69754,1004,1165638,"Oklahoma",35.5,-98
"41",2020-09-27,"OR",32820,638670,5490,547,671490,"Oregon",44,-120.5
"42",2020-09-27,"PA",156150,1845070,127290,8106,2001220,"Pennsylvania",41,-77.5
"43",2020-09-27,"PR",46304,305972,NA,644,352276,"Puerto Rico",18.2,-66.5
"44",2020-09-27,"RI",24181,305853,2278,1107,330034,"Rhode Island",41.7,-71.5
"45",2020-09-27,"SC",145887,1106651,70028,3326,1252538,"South Carolina",34,-81
"46",2020-09-27,"SD",21541,165963,17533,218,187504,"South Dakota",44.5,-100
"47",2020-09-27,"TN",192995,2639541,175143,2377,2832536,"Tennessee",36,-86
"48",2020-09-27,"TX",735132,5281775,652376,15522,6016907,"Texas",31,-100
"49",2020-09-27,"UT",70615,740634,54201,453,811249,"Utah",39,-111
"50",2020-09-27,"VA",146144,1864395,17443,3159,2010804,"Virginia",38,-79
"51",2020-09-27,"VI",1317,18843,1217,19,20167,"Virgin Islands",18.35,-64.933333
"52",2020-09-27,"VT",1742,159248,1584,58,160990,"Vermont",44,-72.7
"53",2020-09-27,"WA",85830,1734793,NA,2100,1820623,"Wahington",47.5,-120.5
"54",2020-09-27,"WI",122478,1399218,95513,1291,1521906,"Wisconsin",44.5,-89.5
"55",2020-09-27,"WV",15348,534375,11160,334,549723,"West Virginia",39,-80.5
"56",2020-09-27,"WY",5633,92406,4519,50,98039,"Wyoming",43,-107.5
"57",2020-09-26,"AK",8315,434554,3267,52,442869,"Alaska",65,-150
"58",2020-09-26,"AL",151591,970048,64583,2501,1121639,"Alabama",32.7,-86.7
"59",2020-09-26,"AR",80755,855635,72051,1285,936390,"Arkansas",34.8,-92.2
"60",2020-09-26,"AS",0,1571,NA,0,1571,NA,NA,NA
"61",2020-09-26,"AZ",216826,1221851,34730,5622,1438677,"Arizona",34,-112
"62",2020-09-26,"CA",798237,13384493,NA,15532,14182730,"California",37,-120
"63",2020-09-26,"CO",67926,804806,6404,1940,872732,"Colorado",39,-105.5
"64",2020-09-26,"CT",56587,1462564,9310,4501,1519151,"Connecticut",41.6,-72.7
"65",2020-09-26,"DC",15215,362764,12029,624,377979,NA,NA,NA
"66",2020-09-26,"DE",20156,260243,10541,633,280399,"Delaware",39,-75.5
"67",2020-09-26,"FL",698682,4536325,NA,14190,5239008,"Florida",28.1,-81.6
"68",2020-09-26,"GA",313873,2558482,NA,6914,2872355,"Georgia",33,-83.5
"69",2020-09-26,"GU",2354,46365,1668,43,48719,"Guam",13.5,144.8
"70",2020-09-26,"HI",11891,278076,5397,127,289967,"Hawaii",21.311389,-157.796389
"71",2020-09-26,"IA",82944,667954,65490,1311,750898,"Iowa",42,-93
"72",2020-09-26,"ID",39757,262420,21291,458,302177,"Idaho",45,-114
"73",2020-09-26,"IL",288815,5142362,NA,8832,5431177,"Illanois",40,-89
"74",2020-09-26,"IN",116549,1233841,92306,3577,1350390,"Indiana",40,-86
"75",2020-09-26,"KS",56592,446178,2039,632,502770,"Kansas",38.5,-98
"76",2020-09-26,"KY",66036,1216560,11750,1154,1282596,"Kentucky",37.5,-85
"77",2020-09-26,"LA",165152,2090913,149640,5444,2256065,"Louisiana",31,-92
"78",2020-09-26,"MA",130050,2046728,111479,9391,2176778,"Massachusetts",42.3,-71.8
"79",2020-09-26,"MD",122972,1461328,7458,3925,1584300,"Maryland",39,-76.7
"80",2020-09-26,"ME",5260,401159,4538,140,406419,"Maine",45.5,-69
"81",2020-09-26,"MI",134373,3408684,95051,7044,3543057,"Michigan",44,-85
"82",2020-09-26,"MN",95659,1273023,85259,2056,1368682,"Minnesota",46,-94
"83",2020-09-26,"MO",122014,1167155,NA,2063,1289169,"Missouri",38.5,-92.5
"84",2020-09-26,"MP",69,14776,29,2,14845,NA,NA,NA
"85",2020-09-26,"MS",96677,634036,85327,2911,730713,"Mississippi",33,-90
"86",2020-09-26,"MT",11907,317378,8749,171,329285,"Montana",47,-110
"87",2020-09-26,"NC",206090,2741713,176422,3440,2947803,"North Carolina",35.5,-80
"88",2020-09-26,"ND",20380,215849,16481,156,236229,"North Dakota",47,-100
"89",2020-09-26,"NE",43162,397483,32238,468,440645,"Nebraska",41.5,-100
"90",2020-09-26,"NH",8121,257257,7379,439,265378,"New Hampshire",44,-71.5
"91",2020-09-26,"NJ",202850,3309718,34650,16103,3512568,"New Jersey",40,-74.5
"92",2020-09-26,"NM",28487,865002,16020,865,893489,"New Mexico",34,-106
"93",2020-09-26,"NV",78355,607323,2075,1582,685678,"Nevada",39,-117
"94",2020-09-26,"NY",454760,9968656,76528,25450,10423416,"New York",43,-75
"95",2020-09-26,"OH",150009,2883978,129498,4740,3033987,"Ohio",40.5,-82.5
"96",2020-09-26,"OK",83510,1075475,69754,1004,1165638,"Oklahoma",35.5,-98
"97",2020-09-26,"OR",32581,636090,5490,546,668671,"Oregon",44,-120.5
"98",2020-09-26,"PA",155232,1830292,127290,8103,1985524,"Pennsylvania",41,-77.5
"99",2020-09-26,"PR",45413,305972,NA,642,351385,"Puerto Rico",18.2,-66.5
"100",2020-09-26,"RI",24181,305853,2278,1107,330034,"Rhode Island",41.7,-71.5
"101",2020-09-26,"SC",145273,1097524,69629,3323,1242797,"South Carolina",34,-81
"102",2020-09-26,"SD",21133,165001,17173,218,186134,"South Dakota",44.5,-100
"103",2020-09-26,"TN",190891,2598988,174044,2374,2789879,"Tennessee",36,-86
"104",2020-09-26,"TX",733438,5261375,649580,15485,5994813,"Texas",31,-100
"105",2020-09-26,"UT",69547,735532,53806,448,805079,"Utah",39,-111
"106",2020-09-26,"VA",145408,1855171,17255,3144,2000889,"Virginia",38,-79
"107",2020-09-26,"VI",1296,18676,1209,19,19980,"Virgin Islands",18.35,-64.933333
"108",2020-09-26,"VT",1739,158537,1580,58,160276,"Vermont",44,-72.7
"109",2020-09-26,"WA",85226,1715795,NA,2100,1801021,"Wahington",47.5,-120.5
"110",2020-09-26,"WI",120231,1393412,94094,1291,1513854,"Wisconsin",44.5,-89.5
"111",2020-09-26,"WV",15158,527133,11121,332,542291,"West Virginia",39,-80.5
"112",2020-09-26,"WY",5465,92406,4479,50,97871,"Wyoming",43,-107.5
"113",2020-09-25,"AK",8202,433130,3042,51,441332,"Alaska",65,-150
"114",2020-09-25,"AL",150658,963364,64583,2491,1114022,"Alabama",32.7,-86.7
"115",2020-09-25,"AR",79946,848822,71426,1266,928768,"Arkansas",34.8,-92.2
"116",2020-09-25,"AS",0,1571,NA,0,1571,NA,NA,NA
"117",2020-09-25,"AZ",216367,1211657,34564,5587,1428024,"Arizona",34,-112
"118",2020-09-25,"CA",794040,13258207,NA,15398,14052247,"California",37,-120
"119",2020-09-25,"CO",67217,795588,6384,1935,862805,"Colorado",39,-105.5
"120",2020-09-25,"CT",56587,1462564,9310,4501,1519151,"Connecticut",41.6,-72.7
"121",2020-09-25,"DC",15163,358423,11990,623,373586,NA,NA,NA
"122",2020-09-25,"DE",20085,259289,10517,631,279374,"Delaware",39,-75.5
"123",2020-09-25,"FL",695887,4510107,NA,14083,5209981,"Florida",28.1,-81.6
"124",2020-09-25,"GA",312514,2534980,NA,6874,2847494,"Georgia",33,-83.5
"125",2020-09-25,"GU",2286,45970,1668,41,48256,"Guam",13.5,144.8
"126",2020-09-25,"HI",11779,275096,5265,124,286875,"Hawaii",21.311389,-157.796389
"127",2020-09-25,"IA",82045,662936,62648,1307,744981,"Iowa",42,-93
"128",2020-09-25,"ID",39234,260648,21105,457,299882,"Idaho",45,-114
"129",2020-09-25,"IL",286374,5079586,NA,8807,5365960,"Illanois",40,-89
"130",2020-09-25,"IN",115407,1226055,91866,3566,1341462,"Indiana",40,-86
"131",2020-09-25,"KS",56592,446178,2039,632,502770,"Kansas",38.5,-98
"132",2020-09-25,"KY",65066,1187262,11677,1149,1252328,"Kentucky",37.5,-85
"133",2020-09-25,"LA",165152,2090913,149640,5444,2256065,"Louisiana",31,-92
"134",2020-09-25,"MA",129481,2032933,111479,9373,2162414,"Massachusetts",42.3,-71.8
"135",2020-09-25,"MD",122359,1450125,7431,3917,1572484,"Maryland",39,-76.7
"136",2020-09-25,"ME",5235,401159,4507,140,406394,"Maine",45.5,-69
"137",2020-09-25,"MI",133377,3368935,90216,7027,3502312,"Michigan",44,-85
"138",2020-09-25,"MN",94189,1256967,84256,2046,1351156,"Minnesota",46,-94
"139",2020-09-25,"MO",120298,1152867,NA,1994,1273165,"Missouri",38.5,-92.5
"140",2020-09-25,"MP",69,14776,29,2,14845,NA,NA,NA
"141",2020-09-25,"MS",96032,630354,85327,2894,726386,"Mississippi",33,-90
"142",2020-09-25,"MT",11564,314552,8681,170,326116,"Montana",47,-110
"143",2020-09-25,"NC",204331,2703286,176422,3409,2907617,"North Carolina",35.5,-80
"144",2020-09-25,"ND",19885,214749,16104,156,234634,"North Dakota",47,-100
"145",2020-09-25,"NE",42731,394573,31774,462,437304,"Nebraska",41.5,-100
"146",2020-09-25,"NH",8044,239107,7325,438,247151,"New Hampshire",44,-71.5
"147",2020-09-25,"NJ",202100,3276611,34650,16097,3478711,"New Jersey",40,-74.5
"148",2020-09-25,"NM",28224,857149,15825,859,885373,"New Mexico",34,-106
"149",2020-09-25,"NV",77753,603583,2075,1573,681336,"Nevada",39,-117
"150",2020-09-25,"NY",453755,9869708,76456,25446,10323463,"New York",43,-75
